Názov,bielkoviny,sacharidy,tuky
Acidko 1%,3.1,4.7,1
Acidko pomaranč,2.7,13.9,3
Ananás,0.5,22.1,0.2
Bake rolls,12,62,17
Banán,0.3,23,0.3
Brokolica,4.4,2.9,0.9
Brokolica - Bonduelle - mrazená,2.7,4.9,0.1
Broskyne,0.8,12.5,0.2
Cibuľa,1,10.6,0.2
Cukor - včelí med,0.2,77.9,0
Cukor vanilkový,0,97.5,0
Dresing cesnakový - Spak,1.8,11.9,20.6
Dresing Modrý syr - Spak,3,10.7,21
Fazuľa,21.4,61.6,1.6
Fazule biele v paradajkovej omáčke,4.7,9,3.5
Fazule s kuk. v chili om. - Bonduelle,4.6,18.3,3.1
Fazuľové strúčky,2,6.4,0.2
Horalka,8.9,54.5,31.6
Horčica - dionska,0,8,9
Horčica - plnotučná,0,8,9
Hranolky,3.59,35.83,13.83
Hrebeň makový,7.2,60.3,8.5
Hrušky,0.5,15.5,0.4
Chlieb maca - cibuľový,10.4,0,3.8
Chlieb maces,11.5,79.8,0
Chlieb žitný,4.3,36.5,1.3
Jablko,0.4,14.4,0.4
Jogurt Danone 7 tromfov,3.1,13.7,2
Jogurt Danone Activia biely,4.2,5.9,3.3
Jogurt Danone Activia müsli,3.7,15.2,3
Jogurt Danone Activia ovocny,3.5,15.5,2.6
Jogurt Danone Vitalinea,4.1,7.9,0.1
Jogurt Danone Vitalinea biely,4.9,6.8,0.1
Jogurt Danone Vitalinea marhuľa,4.2,6.9,0.1
Jogurt Danone Vitalinea višňa; ananás,4.2,7.2,0.1
Jogurt domáci,3.42,4.94,1.73
Jogurt Rajo Klasik,4.1,15.5,2.5
Jogurt Rajo Nízkotučný,3.6,14.7,0.1
Jogurt Rajo Nízkotučný biely,4.6,6.6,0.1
Kaleráb,2.1,5.8,0.2
Kapusta biela hlávková,1.5,4.5,0.2
Kapusta červená hlávková,1.6,6.1,0.3
Kapusta čínska,1.2,2.4,0.3
Karfiol,2.4,4.4,0.3
Knedle na pare,6.94,42.25,1.56
Kokos strúhaný,8.9,16,68.8
Kukurica sterilizovaná,8.9,44.7,3
Kura pečené,12.64,1.08,3.2
Kuracie prsia,18.9,0.3,1
Makrely,18.8,0.1,11.6
Mandarinky,0.9,10.6,0.3
Maslo - Flora,0.1,0.3,70
Maslo - Flora light,0,0,40
Maslo - Veto (100g),0,0,38
Mlieko ovsené (ml),0.5,6.1,2.5
Mlieko polotučné - Wittmann (ml),3.3,4.7,1.5
Mlieko Tesco trvanlivé polotučné (ml),3.3,4.8,1.5
Mrkva,1.4,9.7,0.3
Múka hladká extra špeciál,9.7,72.8,1.3
Olej olivový,0,0,100
Oriešky - Arašidy,16.9,23.6,44.2
Paprika červená,1.2,5.2,0.5
Paprika zelená,0.8,2.6,0.3
Paradajka,1.1,4.6,0.3
Paradajkový pretlak,2.3,22.4,0.5
Pečienka kuracia,18.9,1.1,4
Pomaranče,0.9,11.7,0.3
Pór,2.5,8.6,0.3
Reďkovka,1.1,3.8,0.1
Rožky Active celozrnné,11,73,9
Rožky Active pšeničné,10,68,9
Ryby - Filé z aljašskej tresky,16,0,0.1
Ryby - Sardinky v oleji,24.1,0,13.9
Ryby - Slede mexické,19,28.7,8
Ryža,8,68.9,3.34
Smotana do kávy 10%,3.2,4.2,10
Soja,16.3,10.5,0.8
Syr Apetito Línia,11.8,7,8.8
Syr Eidam 45%,24.2,0.9,24.5
Syr Karička fitnes s jogurtom,15,3,10.5
Syr Niva 50%,19.8,0.8,26.5
Syrová pomazánka (hrubý odhad),10,4,18
Šalát ľadový,0.7,1.9,0.3
Šalát zemiakový,1.9,12,17.5
Šampanské,0.2,1.4,0
Šampiňóny sterilizované,0.8,2.7,0.4
Špagety - bezvaječné - Cessi,9.5,69.8,1.3
Šunka hydinová,26.6,0,12.9
Šunka kuracia jemná,8.15,0.05,6.8
Tekvica obyčajná,1.2,6.2,0.2
Tofu - lahôdkové (AlfaBio),12,6.5,8
Tofu - natural,15.5,6.9,2.4
Tofu - špeciál (AlfaBio),16,11,4
Tofu - udené - priemer,16.6,10.9,3.5
Tofu - udené (AlfaBio),13,12,7
Tofu - udené (Sojaprodukt),16,10,4
Tvaroh 2.5% (CBA),17.5,4.2,2.5
Tvaroh bez tuku,18.8,4.4,0.8
Tvaroh bez tuku (Danone),13.5,3.8,0.3
Tvaroh bez tuku (Oké),20,5,1
Uhorka sterilizovaná,0.4,4.9,0
Uhorka šalátová,0.7,2.6,0.2
Vajce Bielok (1 ks = 33 g),10.91,0.61,0.3
Vajce celé (1 ks = 50 g),13.2,0.6,13.2
Vajce Žĺtok (1 ks = 20 g),16.5,0.5,32.5
Vermut sladký,0,15.9,0
Závin makový,8.7,55.6,14.5
Zelenina Wok + Chicken - Red Curry,5,13,1.5
Zelenina Wok + Noodles - Coconut & Lime,3,16,0.4
Zelenina Wok + Noodles - Sweet Chilli,3,21,0.6
Zelenina Wok + Prawn - Ginger & Garlic,4.5,13,1.5
Zelenina Wok Thai,1.5,7,0.3
Zelenina Wok Vietnamese,2,4.5,0.3
Zemiaky ,2,17,0.3
